dataset,backbone,loss,Our_Recall@20,Author_Recall@20,Recall_Diff,Our_NDCG@20,Author_NDCG@20,NDCG_Diff,Author_Recall_Imp%,Author_NDCG_Imp%,Our_Recall_Imp%,Our_NDCG_Imp%
gowalla,XSimGCL,SONGatK,0.0956,0.1367,-0.0411,0.0689,0.0985,-0.0296,,,,
health,LightGCN,BPR,0.1122,0.1618,-0.0496,0.0744,0.1203,-0.0459,,,,
electronic,LightGCN,BPR,0.0390,0.0813,-0.0423,0.0224,0.0524,-0.0300,,,,
health,MF,AdvInfoNCE,0.1664,0.1659,0.0005,0.1238,0.1237,0.0001,,,,
electronic,XSimGCL,Softmax,0.0752,0.0772,-0.0020,0.0477,0.0490,-0.0013,,,,
electronic,XSimGCL,SLatK,0.0753,0.0869,-0.0116,0.0496,0.0571,-0.0075,+8.49% (vs PSL),+12.40% (vs BPR),-3.19% (vs BSL),-0.02% (vs BSL)
book,MF,BPR,0.0235,0.0665,-0.0430,0.0171,0.0453,-0.0282,,,,
electronic,LightGCN,AdvInfoNCE,0.0836,0.0823,0.0013,0.0531,0.0528,0.0003,,,,
gowalla,MF,GuidedRec,0.0997,0.1135,-0.0138,0.0750,0.0863,-0.0113,,,,
health,XSimGCL,AdvInfoNCE,0.1619,0.1499,0.0120,0.1162,0.1072,0.0090,,,,
health,LightGCN,GuidedRec,0.1500,0.1550,-0.0050,0.1011,0.1073,-0.0062,,,,
health,XSimGCL,BPR,0.1194,0.1496,-0.0302,0.0843,0.1108,-0.0265,,,,
gowalla,LightGCN,SLatK,0.1514,0.2128,-0.0614,0.1174,0.1729,-0.0555,+2.01% (vs PSL),+4.92% (vs PSL),+1.63% (vs SONGatK),+1.52% (vs SONGatK)
health,XSimGCL,LLPAUC,0.1651,0.1519,0.0132,0.1170,0.1083,0.0087,,,,
gowalla,MF,LLPAUC,0.1345,0.1610,-0.0265,0.1007,0.1189,-0.0182,,,,
gowalla,XSimGCL,Softmax,0.1268,0.2005,-0.0737,0.0960,0.1570,-0.0610,,,,
gowalla,MF,SLatK,0.1504,0.2121,-0.0617,0.1177,0.1709,-0.0532,+1.53% (vs PSL),+3.76% (vs PSL),+2.43% (vs AdvInfoNCE),+3.27% (vs SONGatK)
gowalla,LightGCN,PSL,0.1419,0.2086,-0.0667,0.1097,0.1648,-0.0551,,,,
electronic,XSimGCL,SONGatK,0.0486,0.0525,-0.0039,0.0292,0.0320,-0.0028,,,,
health,MF,BSL,0.1675,0.1719,-0.0044,0.1242,0.1261,-0.0019,,,,
book,XSimGCL,PSL,0.0800,0.1571,-0.0771,0.0590,0.1228,-0.0638,,,,
electronic,LightGCN,PSL,0.0822,0.0830,-0.0008,0.0530,0.0536,-0.0006,,,,
health,LightGCN,PSL,0.1684,0.1701,-0.0017,0.1252,0.1270,-0.0018,,,,
gowalla,MF,SONGatK,0.1464,0.1237,0.0227,0.1140,0.0970,0.0170,,,,
book,MF,GuidedRec,0.0388,0.0518,-0.0130,0.0273,0.0361,-0.0088,,,,
health,LightGCN,SONGatK,0.1614,0.1353,0.0261,0.1157,0.0960,0.0197,,,,
health,XSimGCL,SONGatK,0.1281,0.1378,-0.0097,0.0929,0.0948,-0.0019,,,,
book,MF,PSL,0.0902,0.1569,-0.0667,0.0676,0.1227,-0.0551,,,,
gowalla,XSimGCL,BSL,0.1267,0.2037,-0.0770,0.0957,0.1597,-0.0640,,,,
health,XSimGCL,PSL,0.1642,0.1579,0.0063,0.1192,0.1143,0.0049,,,,
book,MF,AdvInfoNCE,0.0908,0.1557,-0.0649,0.0679,0.1172,-0.0493,,,,
health,MF,LLPAUC,0.1684,0.1644,0.0040,0.1228,0.1209,0.0019,,,,
gowalla,MF,Softmax,0.1461,0.2064,-0.0603,0.1131,0.1624,-0.0493,,,,
gowalla,XSimGCL,LLPAUC,0.1181,0.1632,-0.0451,0.0856,0.1200,-0.0344,,,,
health,LightGCN,Softmax,0.1687,0.1691,-0.0004,0.1240,0.1235,0.0005,,,,
health,LightGCN,SLatK,0.1793,0.1783,0.0010,0.1369,0.1371,-0.0002,+4.51% (vs AdvInfoNCE),+7.95% (vs PSL),-1.18% (vs LLPAUC),+7.66% (vs LLPAUC)
gowalla,LightGCN,BPR,0.0641,0.1745,-0.1104,0.0437,0.1402,-0.0965,,,,
health,XSimGCL,Softmax,0.1630,0.1534,0.0096,0.1183,0.1113,0.0070,,,,
gowalla,MF,BSL,0.1461,0.2071,-0.0610,0.1131,0.1630,-0.0499,,,,
electronic,XSimGCL,BSL,0.0778,0.0800,-0.0022,0.0496,0.0507,-0.0011,,,,
electronic,MF,BSL,0.0832,0.0834,-0.0002,0.0528,0.0530,-0.0002,,,,
health,MF,GuidedRec,0.1465,0.1568,-0.0103,0.1016,0.1093,-0.0077,,,,
electronic,MF,GuidedRec,0.0607,0.0644,-0.0037,0.0359,0.0385,-0.0026,,,,
book,XSimGCL,BPR,0.0678,0.1269,-0.0591,0.0491,0.0905,-0.0414,,,,
gowalla,XSimGCL,AdvInfoNCE,0.1262,0.2010,-0.0748,0.1017,0.1564,-0.0547,,,,
gowalla,XSimGCL,SLatK,0.1242,0.2095,-0.0853,0.0934,0.1717,-0.0783,+2.85% (vs BSL),+7.51% (vs BSL),-2.07% (vs Softmax),-8.07% (vs AdvInfoNCE)
gowalla,LightGCN,GuidedRec,0.0864,0.0921,-0.0057,0.0643,0.0686,-0.0043,,,,
